user,enrolled,prediction,correct
228550,1,0,0
162911,0,0,1
250377,0,0,1
118868,0,0,1
143858,1,1,1
6465,0,0,1
359234,0,0,1
83627,1,0,0
285546,0,0,1
298683,1,1,1
44240,1,1,1
26363,1,1,1
21215,0,0,1
100926,0,1,0
42982,0,1,0
68085,0,0,1
130888,0,0,1
359608,0,0,1
310196,1,0,0
22195,1,0,0
353702,0,0,1
15772,0,1,0
234525,1,1,1
178535,1,1,1
34937,1,1,1
148117,0,0,1
372984,1,1,1
103949,1,1,1
179473,1,1,1
71317,0,1,0
232264,1,1,1
207871,0,0,1
282923,1,1,1
143726,0,0,1
69071,0,0,1
161254,1,0,0
228041,0,0,1
90288,1,1,1
131932,1,1,1
270795,1,1,1
362483,0,0,1
334312,0,0,1
14918,0,0,1
255289,1,0,0
359251,1,0,0
117170,0,0,1
66852,1,0,0
367512,0,0,1
31608,0,0,1
42567,1,1,1
241239,1,1,1
197481,0,1,0
321484,0,0,1
254957,0,0,1
286383,0,0,1
80381,0,0,1
63639,0,0,1
68635,1,1,1
239322,0,0,1
237396,0,0,1
362271,0,0,1
329328,0,0,1
284433,1,1,1
226617,0,0,1
205950,0,0,1
18185,0,0,1
33331,1,1,1
278105,0,1,0
200297,0,0,1
276179,0,0,1
277164,1,0,0
3776,0,1,0
310208,1,0,0
90928,0,0,1
14231,1,1,1
230296,1,0,0
260099,0,0,1
302583,1,1,1
272780,0,0,1
253749,0,1,0
55654,1,1,1
142415,0,0,1
332278,0,0,1
278090,1,0,0
90917,1,1,1
253109,1,1,1
271693,1,1,1
260692,1,1,1
209184,1,1,1
7062,0,0,1
284878,1,1,1
145142,1,1,1
277732,0,1,0
347711,1,1,1
307353,1,1,1
105260,0,1,0
276007,1,1,1
331058,0,1,0
17321,1,1,1
215420,1,1,1
309055,1,0,0
321995,1,0,0
113842,1,0,0
329764,1,0,0
190346,0,0,1
49477,1,1,1
367519,1,1,1
32964,1,1,1
273594,1,1,1
176278,0,0,1
266205,1,1,1
3092,0,0,1
72917,0,0,1
234636,0,0,1
131619,1,1,1
55007,0,0,1
128594,0,0,1
252939,0,0,1
298246,1,1,1
147156,1,1,1
208543,1,1,1
34023,1,1,1
77210,0,0,1
164942,1,1,1
352494,1,1,1
74294,1,1,1
356972,1,1,1
16273,0,0,1
140136,1,1,1
343593,1,1,1
317405,0,0,1
26747,1,1,1
139376,0,0,1
166964,0,0,1
147154,0,1,0
109491,0,0,1
106083,0,1,0
268048,1,1,1
286475,0,0,1
353704,1,0,0
342727,0,1,0
136576,1,1,1
50081,1,1,1
5232,0,1,0
327762,1,1,1
146464,0,0,1
189646,0,0,1
284315,1,1,1
218403,1,1,1
139484,0,1,0
201190,0,1,0
47056,0,0,1
157668,1,1,1
87937,1,1,1
340649,0,0,1
293897,1,1,1
95939,0,0,1
157903,1,1,1
23395,0,1,0
51332,1,1,1
18302,0,0,1
66561,1,1,1
184349,1,1,1
306983,1,1,1
208195,0,0,1
104609,1,1,1
2917,0,0,1
352398,1,1,1
314506,1,1,1
219073,0,0,1
5735,0,0,1
284868,0,0,1
155515,0,0,1
297512,0,0,1
233466,0,0,1
7600,1,0,0
363248,0,1,0
239461,1,1,1
136016,0,1,0
23567,0,0,1
292950,1,1,1
321243,1,1,1
242913,1,1,1
203193,0,1,0
280869,0,0,1
291797,1,1,1
296367,1,1,1
339165,1,1,1
371299,0,0,1
332076,1,0,0
193699,1,1,1
76888,0,0,1
197072,1,1,1
303298,0,1,0
137318,0,0,1
72445,0,0,1
312774,1,1,1
318942,1,1,1
250768,1,1,1
75710,0,0,1
330544,0,0,1
114170,0,0,1
209172,0,0,1
132066,0,0,1
362197,0,0,1
123882,0,0,1
127599,1,1,1
67316,0,1,0
314066,0,0,1
165744,0,0,1
42914,0,0,1
134567,1,1,1
47011,1,1,1
201480,0,0,1
336127,1,1,1
290012,0,0,1
235533,0,0,1
292385,1,0,0
300514,1,1,1
50972,0,0,1
259585,1,1,1
205983,1,1,1
152106,0,0,1
37770,0,0,1
214906,1,1,1
74992,1,0,0
23760,1,1,1
84333,0,0,1
203563,0,0,1
135419,0,0,1
346876,0,0,1
122508,0,0,1
88519,0,0,1
16597,0,1,0
126919,0,1,0
280123,0,1,0
211968,1,1,1
159761,0,1,0
191662,1,1,1
279446,1,0,0
179166,0,0,1
48233,1,1,1
345761,1,1,1
96405,1,1,1
121072,0,0,1
287528,0,1,0
266234,1,1,1
308870,1,1,1
257237,0,0,1
349097,0,1,0
348611,1,1,1
126626,1,1,1
55206,1,0,0
365150,0,0,1
326106,1,1,1
63979,0,1,0
96511,1,1,1
266077,1,0,0
319476,1,1,1
214613,0,1,0
147709,0,0,1
162893,1,1,1
133047,1,0,0
359049,0,0,1
62643,1,0,0
187952,0,0,1
41621,1,1,1
203115,1,1,1
341046,1,1,1
302918,0,1,0
106924,1,1,1
363712,1,1,1
50968,0,0,1
4808,0,0,1
372488,1,1,1
67644,0,0,1
52037,0,0,1
205923,0,0,1
148490,1,0,0
296296,0,0,1
147430,0,0,1
203800,0,0,1
130938,1,1,1
265912,1,1,1
15517,0,1,0
299433,0,1,0
328957,0,0,1
102391,0,0,1
245339,1,0,0
87492,0,0,1
67360,1,1,1
198755,0,0,1
276849,0,0,1
310697,1,1,1
129605,1,1,1
48895,1,0,0
26505,0,0,1
152039,1,1,1
11997,0,0,1
156215,1,1,1
182780,1,1,1
349795,1,1,1
144885,1,1,1
30302,0,1,0
270894,1,1,1
45203,0,1,0
235098,0,0,1
53502,0,0,1
64217,0,0,1
194988,1,1,1
130674,0,0,1
149788,1,0,0
295557,1,1,1
348570,0,1,0
335963,1,1,1
372478,1,1,1
190352,1,0,0
165845,1,1,1
163124,0,0,1
250522,1,1,1
222327,1,1,1
170108,0,0,1
110124,1,0,0
337660,1,1,1
317203,1,0,0
183736,0,0,1
297802,1,0,0
98213,1,0,0
212836,1,1,1
15942,0,0,1
300998,0,0,1
325246,1,1,1
32418,1,1,1
332533,0,0,1
25889,0,0,1
217404,0,0,1
222650,0,0,1
16712,1,1,1
159701,0,0,1
243022,1,0,0
209782,1,0,0
277125,1,1,1
175462,1,1,1
160587,1,0,0
36472,1,1,1
315385,1,1,1
113414,1,0,0
45084,1,0,0
162748,1,0,0
350685,1,1,1
111942,0,0,1
39065,1,1,1
244556,0,0,1
244575,1,0,0
370309,0,1,0
69903,1,1,1
356242,0,1,0
102155,0,0,1
147573,1,1,1
20770,1,1,1
105652,1,1,1
213995,0,0,1
269177,1,0,0
227410,1,1,1
115064,0,0,1
121392,0,1,0
304030,0,0,1
344259,0,0,1
256544,0,1,0
225225,0,0,1
74107,0,0,1
61864,1,1,1
239065,1,0,0
246800,0,0,1
334403,0,1,0
160723,0,0,1
83393,0,0,1
12116,1,1,1
159097,0,0,1
75784,1,1,1
253602,1,1,1
282254,0,1,0
146580,0,1,0
237674,1,1,1
228206,0,0,1
184675,0,1,0
311112,1,0,0
110586,1,1,1
279307,1,0,0
120656,1,1,1
168318,1,1,1
103868,0,0,1
270736,1,1,1
1938,0,1,0
361603,0,0,1
265565,1,1,1
191689,1,1,1
134105,1,1,1
34636,1,0,0
223503,1,1,1
313816,0,1,0
206512,0,0,1
80511,0,0,1
90544,1,1,1
190505,0,0,1
140816,0,0,1
33511,0,0,1
121509,0,0,1
208171,1,0,0
106170,0,0,1
186840,0,0,1
346134,0,0,1
193336,0,0,1
68185,1,1,1
325416,0,0,1
21883,1,0,0
322187,1,1,1
93832,0,0,1
272961,0,0,1
115494,0,0,1
87485,1,1,1
218403,1,1,1
218142,1,1,1
129975,0,0,1
333026,1,1,1
331809,0,0,1
176759,0,1,0
356551,1,0,0
174498,1,1,1
372669,1,1,1
245112,0,0,1
158899,0,0,1
4379,1,1,1
209831,0,0,1
28816,0,1,0
43606,1,1,1
113079,0,0,1
309543,1,1,1
64172,1,0,0
348063,1,1,1
301368,0,0,1
226638,0,0,1
112650,1,1,1
327296,0,0,1
95573,1,1,1
105005,1,1,1
126517,1,1,1
223552,1,0,0
276804,0,0,1
288190,1,0,0
89266,1,0,0
27513,1,1,1
25246,0,0,1
17385,0,0,1
64193,0,0,1
305677,1,0,0
138468,1,1,1
318202,1,1,1
272764,0,0,1
96480,0,0,1
48326,0,1,0
268995,1,1,1
397,1,1,1
189865,0,0,1
134139,1,1,1
103701,0,1,0
165539,1,1,1
90564,0,1,0
225813,1,1,1
280533,1,0,0
256576,1,1,1
46070,1,0,0
265808,1,1,1
250046,1,1,1
213876,1,1,1
243585,1,1,1
240799,0,1,0
13471,1,1,1
154817,1,0,0
229159,1,1,1
270516,0,1,0
96904,1,1,1
320721,1,1,1
123953,0,1,0
133336,0,0,1
278292,0,0,1
157348,1,1,1
216224,1,1,1
144005,1,0,0
298696,0,0,1
225627,0,1,0
260364,0,1,0
79260,1,0,0
319443,0,1,0
258064,0,0,1
202433,1,1,1
41768,1,1,1
161783,0,0,1
313015,1,1,1
288789,0,0,1
353556,1,1,1
190251,1,1,1
310718,1,0,0
217752,0,1,0
147666,1,1,1
22827,1,1,1
186484,0,0,1
77627,0,0,1
357570,1,1,1
137303,1,1,1
299471,0,0,1
17858,1,1,1
172521,0,0,1
70808,1,1,1
104143,1,1,1
345418,0,0,1
86932,0,1,0
49431,0,0,1
222802,1,1,1
165312,1,1,1
353696,0,1,0
155064,0,1,0
134072,0,0,1
279726,1,1,1
84743,0,0,1
310702,1,1,1
159390,1,1,1
151181,1,1,1
117772,1,1,1
88307,1,1,1
333264,0,0,1
166248,1,1,1
236660,0,0,1
348811,1,1,1
247505,0,0,1
137569,1,1,1
44279,1,1,1
34174,0,0,1
100556,0,0,1
163042,0,0,1
165039,1,1,1
342136,0,1,0
98723,0,0,1
220367,0,0,1
249513,0,0,1
137474,1,0,0
300120,0,0,1
131323,1,1,1
9538,0,0,1
240667,1,1,1
180301,1,1,1
326994,0,0,1
243589,0,0,1
138774,0,1,0
180506,0,0,1
133105,0,0,1
48008,1,1,1
369805,0,0,1
124146,0,1,0
160265,0,0,1
342693,1,0,0
202337,0,1,0
79258,1,1,1
112042,0,0,1
261905,0,1,0
347806,0,0,1
300285,1,1,1
52558,0,1,0
125267,1,1,1
221138,0,0,1
299032,1,0,0
301675,0,0,1
310360,0,1,0
205829,0,1,0
331068,0,1,0
361939,1,0,0
218423,0,0,1
348675,1,1,1
63822,0,0,1
17323,1,1,1
357667,1,1,1
351960,0,0,1
176008,0,0,1
193939,1,1,1
193712,0,0,1
180192,0,0,1
187033,1,1,1
118624,0,0,1
128891,0,0,1
72955,1,1,1
102120,0,1,0
349580,1,1,1
131885,0,0,1
56248,0,1,0
316483,0,0,1
38301,0,0,1
133906,0,0,1
224221,0,0,1
166022,1,0,0
363517,1,1,1
238137,0,0,1
315745,0,1,0
61723,1,1,1
317075,1,0,0
154879,0,0,1
360409,0,0,1
85772,1,1,1
320505,1,1,1
154734,1,1,1
87957,0,0,1
86000,1,1,1
33760,0,0,1
335883,1,0,0
191721,1,1,1
325948,0,0,1
215195,0,0,1
306266,1,0,0
354738,0,1,0
59245,1,0,0
182477,1,1,1
53766,0,0,1
122867,0,1,0
206145,1,1,1
340939,0,0,1
10151,0,1,0
83087,0,0,1
320010,1,0,0
174310,0,0,1
217806,1,1,1
285183,1,1,1
200274,1,1,1
366823,0,1,0
46450,1,1,1
366350,1,1,1
13160,0,1,0
355791,1,1,1
312316,0,0,1
127045,0,0,1
23019,1,1,1
143199,0,0,1
132877,0,0,1
186067,1,1,1
358547,0,0,1
3729,0,0,1
150607,0,0,1
259579,0,0,1
164630,1,1,1
197954,1,1,1
342507,1,0,0
295206,0,0,1
264870,0,1,0
82846,1,1,1
44070,0,0,1
235365,1,1,1
323391,1,1,1
222481,1,1,1
85427,1,1,1
19645,0,0,1
180522,0,0,1
309791,0,0,1
341203,1,1,1
150634,0,1,0
247775,1,1,1
345621,1,1,1
297297,0,0,1
75686,1,1,1
98675,0,1,0
143060,0,0,1
282605,0,1,0
146337,1,1,1
234425,0,1,0
231879,1,1,1
356714,0,0,1
372602,1,1,1
255649,1,1,1
16412,1,0,0
205972,0,0,1
353823,1,1,1
127646,1,1,1
285386,1,1,1
131981,1,1,1
43399,0,0,1
359199,0,0,1
354413,1,1,1
55046,0,0,1
315622,1,1,1
142584,0,0,1
287257,0,0,1
122087,1,1,1
78148,0,0,1
123486,0,0,1
332186,0,0,1
201283,1,1,1
14325,0,0,1
224510,1,1,1
220842,1,1,1
96415,1,0,0
115233,0,0,1
79008,1,1,1
196734,1,1,1
247468,0,0,1
40698,0,0,1
173583,0,0,1
175588,0,0,1
130224,1,1,1
198024,1,1,1
361376,0,0,1
16620,0,0,1
196441,1,0,0
295443,0,0,1
129905,0,0,1
335574,0,0,1
76058,0,0,1
174162,0,0,1
363872,0,0,1
349306,1,1,1
271696,0,0,1
253276,0,0,1
299637,1,1,1
337562,1,1,1
269001,1,1,1
79407,0,0,1
201531,1,1,1
203326,0,0,1
57107,0,1,0
368763,0,1,0
59414,0,1,0
153623,1,1,1
278243,0,0,1
220415,0,1,0
204093,1,1,1
93241,1,1,1
80532,1,1,1
212739,1,1,1
255539,1,1,1
112162,0,0,1
280464,1,1,1
132141,0,0,1
168277,1,1,1
109401,0,0,1
225062,1,0,0
6131,1,0,0
333006,0,1,0
26417,1,1,1
104651,1,0,0
109260,1,1,1
320999,1,0,0
314956,1,0,0
284786,0,1,0
354473,1,1,1
35636,0,1,0
1685,1,1,1
144258,1,1,1
319268,1,1,1
229911,0,1,0
295031,1,1,1
306413,0,0,1
2325,1,1,1
271101,1,1,1
132884,0,0,1
2913,1,1,1
143127,1,1,1
108297,1,0,0
950,0,1,0
41480,0,1,0
230835,1,1,1
165927,1,1,1
339127,0,0,1
207477,1,1,1
21918,0,1,0
17781,0,0,1
156433,1,1,1
37076,0,0,1
73909,1,1,1
26727,0,1,0
347134,1,1,1
106313,0,0,1
101713,1,1,1
137326,0,0,1
268226,1,1,1
303793,0,0,1
7458,0,0,1
17418,1,0,0
214094,0,1,0
313379,0,1,0
77203,1,1,1
237953,1,0,0
299765,0,0,1
205358,0,0,1
67273,0,0,1
27011,0,0,1
190500,0,0,1
200361,1,1,1
22952,1,0,0
367613,1,1,1
248100,0,1,0
92747,0,0,1
294381,0,0,1
64241,1,1,1
249695,0,0,1
77723,1,0,0
368826,0,0,1
226341,0,0,1
133927,0,0,1
6424,1,1,1
372130,0,0,1
276305,1,1,1
182259,0,0,1
265982,1,0,0
266656,1,1,1
291847,1,0,0
355146,1,0,0
251991,1,0,0
249818,1,1,1
337988,1,1,1
168112,1,0,0
198380,0,1,0
249799,0,1,0
3974,0,0,1
364196,0,0,1
138895,0,0,1
73756,1,0,0
268903,1,0,0
339401,0,0,1
249381,0,0,1
3604,1,1,1
219434,0,0,1
366987,0,0,1
224852,0,0,1
46472,0,0,1
159351,0,0,1
213591,1,1,1
344348,1,1,1
235407,1,1,1
212964,0,0,1
318299,0,0,1
153723,1,1,1
87265,0,0,1
179319,0,0,1
80508,1,1,1
177694,1,1,1
14885,0,0,1
154542,1,1,1
287387,0,0,1
291867,0,1,0
61471,1,0,0
222438,1,0,0
32039,1,1,1
369179,1,1,1
265072,0,1,0
276186,0,0,1
170802,0,0,1
202245,0,0,1
217577,1,0,0
35853,1,1,1
56130,1,0,0
108174,0,0,1
189151,0,1,0
59084,1,1,1
15823,0,1,0
71615,0,0,1
336892,1,1,1
28717,1,1,1
273363,0,0,1
203440,1,1,1
295156,1,1,1
127798,1,1,1
208467,1,1,1
66468,0,0,1
259805,1,1,1
40426,1,1,1
229664,1,0,0
43223,0,0,1
7728,0,1,0
157408,1,1,1
290034,1,0,0
137945,1,0,0
351661,0,1,0
339275,1,1,1
133746,1,1,1
117507,0,0,1
217375,1,0,0
252170,0,0,1
77433,0,0,1
364721,0,0,1
296503,0,0,1
188222,1,1,1
250069,1,1,1
12244,1,1,1
184440,1,1,1
193329,0,0,1
24250,0,0,1
17930,1,1,1
205628,0,0,1
264394,1,1,1
188023,0,0,1
281623,0,1,0
344970,0,0,1
370048,0,1,0
131222,1,0,0
139527,0,0,1
120899,0,0,1
219158,1,1,1
276889,1,0,0
167816,1,1,1
346353,1,1,1
226685,0,1,0
203662,0,0,1
14026,0,0,1
370763,0,0,1
248668,0,1,0
224525,1,1,1
258808,0,1,0
225522,0,0,1
336299,1,0,0
48624,0,0,1
98204,1,0,0
182237,0,1,0
139751,0,0,1
74637,1,1,1
18306,1,1,1
133569,1,1,1
219056,1,1,1
306030,1,1,1
203374,1,1,1
329097,1,0,0
40888,1,1,1
326828,1,1,1
77992,1,0,0
272800,0,0,1
76615,0,0,1
232003,1,1,1
168293,1,1,1
143916,0,0,1
52455,1,1,1
38426,1,0,0
251190,1,1,1
68717,0,0,1
4173,1,0,0
24813,0,0,1
37892,0,0,1
172423,0,0,1
103695,0,0,1
89960,1,1,1
272490,0,1,0
198850,0,0,1
111464,1,1,1
309095,0,0,1
149840,0,0,1
286063,0,0,1
171741,0,0,1
57004,0,0,1
151279,0,1,0
36032,0,0,1
64484,0,0,1
367107,0,1,0
174013,0,0,1
332415,1,1,1
293365,0,0,1
342436,1,1,1
349655,0,0,1
144616,1,1,1
117543,0,0,1
54351,1,1,1
308229,0,0,1
276227,1,1,1
305382,1,1,1
341130,0,0,1
208693,1,1,1
331091,1,1,1
246189,0,0,1
356178,1,1,1
347308,0,0,1
120539,1,1,1
137747,0,1,0
364808,1,1,1
370936,0,0,1
304181,1,1,1
159922,1,1,1
81583,0,1,0
72728,0,0,1
308996,1,0,0
3453,0,0,1
178401,0,0,1
230635,0,0,1
343563,1,0,0
191205,1,0,0
196250,0,0,1
270559,1,1,1
145634,1,1,1
162583,0,0,1
289973,0,0,1
261049,0,0,1
140634,0,1,0
277237,1,1,1
208017,0,0,1
237794,0,0,1
213984,0,0,1
98338,1,0,0
191227,0,0,1
173987,0,0,1
19422,1,0,0
234250,0,0,1
257680,1,0,0
244737,1,1,1
270959,1,1,1
261457,0,0,1
209355,1,0,0
250249,1,1,1
215094,0,0,1
370289,0,0,1
94876,0,1,0
54119,1,0,0
350099,0,1,0
325295,1,1,1
344857,0,0,1
302097,1,0,0
218817,1,1,1
207819,1,1,1
308026,1,1,1
75146,0,1,0
148394,0,0,1
55207,1,0,0
99550,1,1,1
51437,1,1,1
246959,1,1,1
234337,0,1,0
288741,0,0,1
130227,1,1,1
346863,1,1,1
298574,1,0,0
362384,0,1,0
287785,1,1,1
48707,0,0,1
368914,1,1,1
146040,1,0,0
188154,0,0,1
2465,0,0,1
195889,0,0,1
11120,0,1,0
122822,1,1,1
335149,0,1,0
17951,0,0,1
339052,0,0,1
114241,0,0,1
280085,0,1,0
355937,0,0,1
362413,0,0,1
15645,0,0,1
207165,1,1,1
200291,0,0,1
98498,1,1,1
25951,0,1,0
110341,0,0,1
67297,1,1,1
359784,1,1,1
285633,0,0,1
113471,0,1,0
274742,0,0,1
348026,1,1,1
1887,1,1,1
68156,0,0,1
359847,0,0,1
51942,0,0,1
309747,0,0,1
120253,1,1,1
34615,0,1,0
67287,1,0,0
7832,1,1,1
229697,1,1,1
304546,0,0,1
42800,0,1,0
340089,0,0,1
365944,0,0,1
286858,0,0,1
296647,0,0,1
280692,0,0,1
147707,1,1,1
309888,1,0,0
199564,0,0,1
245696,0,0,1
250705,0,0,1
373622,1,1,1
64531,0,0,1
316679,1,1,1
232474,0,0,1
302549,1,0,0
328596,0,0,1
257717,1,1,1
291296,0,1,0
368100,1,1,1
6221,0,0,1
206230,0,0,1
305510,0,0,1
20351,0,1,0
326789,1,0,0
120013,1,1,1
91849,0,0,1
98009,1,1,1
258932,1,1,1
105347,0,1,0
280802,0,1,0
78375,0,0,1
45843,1,1,1
202213,0,0,1
249148,0,0,1
135291,1,1,1
264519,1,0,0
28258,1,0,0
158834,0,0,1
256586,1,0,0
75596,0,0,1
74550,1,1,1
343710,0,0,1
306714,0,0,1
355436,0,0,1
60688,1,1,1
275550,0,0,1
118273,1,0,0
369587,1,0,0
134825,1,1,1
50218,0,0,1
202842,0,0,1
319660,1,0,0
5414,0,0,1
136678,0,1,0
129555,0,1,0
209027,1,1,1
3434,0,0,1
129466,0,0,1
363776,1,1,1
121080,1,1,1
25426,0,1,0
318720,0,0,1
269723,0,1,0
142903,0,0,1
313709,0,0,1
327947,1,0,0
233661,1,1,1
121659,1,1,1
364726,1,1,1
191677,1,1,1
297454,1,1,1
109280,0,0,1
160673,1,0,0
297903,1,1,1
35949,0,0,1
158575,0,0,1
104055,1,0,0
12018,0,0,1
121181,1,1,1
65934,0,0,1
352422,0,0,1
366861,0,0,1
139156,1,1,1
9749,1,1,1
158541,1,1,1
96869,1,1,1
296063,1,1,1
142418,1,1,1
236722,1,1,1
255836,0,0,1
94847,1,1,1
362184,0,0,1
4342,0,1,0
326559,0,0,1
359695,0,1,0
215030,1,1,1
289132,1,1,1
232950,1,1,1
211714,0,1,0
63182,1,0,0
132917,1,0,0
216119,0,1,0
123515,0,0,1
285433,1,0,0
256537,0,0,1
271708,1,0,0
85144,1,1,1
221636,1,1,1
360663,0,0,1
242588,0,0,1
32540,0,0,1
103942,1,1,1
254783,0,0,1
228690,1,0,0
225635,1,1,1
149351,0,0,1
290930,0,1,0
329669,1,1,1
277586,0,1,0
239949,1,1,1
365818,0,0,1
258508,0,1,0
7107,0,0,1
286666,1,1,1
368519,0,1,0
334879,1,1,1
81687,0,0,1
129257,1,1,1
279124,1,1,1
257293,0,0,1
136149,0,0,1
124350,0,0,1
343727,1,1,1
9412,0,0,1
260693,0,0,1
25439,0,0,1
6684,1,0,0
90637,0,0,1
155634,1,1,1
73627,0,1,0
242600,0,1,0
338425,1,1,1
279355,1,1,1
19510,0,0,1
